D001327	D007154
D001329	D011180
D001338	D009412
D001338	D017776
D001338	D017776
D001338	D009412
D001339	D002799
D001339	D002799
D001339	D017776
D001339	D017776
D001339	D002799
D001339	D002799
D001341	D017933
D001342	D009422
D001353	D012192
D001353	D014412
D001353	D007942
D001353	D007942
D001353	D001715
D001357	D012192
D001357	D014412
D001357	D012513
D001357	D012513
D001357	D001715
D001361	D003677
D001365	D034941
D001366	D001158
D001367	D014680
D001368	D002574
D001369	D009412
D001369	D022081
D001369	D009474
D001369	D009412
D001401	D014680
D001402	D000921
D001402	D008214
D001402	D008214
D001402	D000921
D001402	D008214
D001404	D011529
D001404	D011529
D001404	D017282
D001404	D011529
D001415	D060726
D001416	D010146
D001424	D001423
D001437	D014552
D001437	D014552
D001437	D014552
D001442	D016866
D001446	D010409
D001447	D007411
D001447	D016770
D001447	D007411
D001449	D009395
D001449	D009395
D001469	D014947
D001471	D011230
D001471	D004935
D001472	D014844
D001472	D005088
D001474	D001476
D001476	D016905
D001477	D015499
D001477	D015499
D001477	D006929
D001478	D009807
D001478	D002280
D001478	D002280
D001478	D009386
D001478	D001848
D001478	D009807
D001478	D009807
D001478	D000015
D001478	D009386
D001479	D054022
D001480	D001927
D001485	D004848
D001485	D008566
D001488	D001158
D001489	D003051
D001489	D001485
D001491	D006098
D001491	D006098
D001491	D006098
D001491	D006098
D001497	D014947
D001502	D000825
D001506	D000015
D001506	D025063
D001506	D025063
D001528	D009059
D001528	D014606
D001528	D014657
D001528	D056660
D001528	D056660
D001528	D017445
D001602	D013832
D001606	D025861
D001606	D001791
D001606	D006474
D001606	D025861
D001607	D011009
D001607	D011009
D001607	D011009
D001630	D005547
D001641	D014070
D001646	D012634
D001648	D001653
D001648	D001653
D001649	D001660
D001650	D001661
D001650	D001649
D001650	D001661
D001650	D001661
D001651	D002779
D001652	D001659
D001653	D001652
D001653	D008099
D001655	D001660
D001655	D004383
D001656	D001649
D001656	D004065
D001656	D004065
D001657	D003137
D001658	D016154
D001658	D016154
D001659	D004064
D001660	D004066
D001661	D004067
D001661	D001660
D001661	D004067
D001715	D000820
D001716	D000542
D001716	D000542
D001716	D000542
D001716	D009784
D001720	D007232
D001720	D014947
D001724	D001835
D001733	D011041
D001733	D014947
D001734	D001733
D001742	D016778
D001743	D014551
D001744	D001745
D001744	D014545
D001744	D001745
D001744	D014545
D001744	D014545
D001745	D014570
D001745	D014570
D001746	D014564
D001746	D001745
D001746	D014564
D001746	D001745
D001746	D014564
D001747	D014548
D001747	D001745
D001747	D014548
D001747	D001745
D001747	D014548
D001748	D014524
D001748	D001745
D001748	D014524
D001748	D001745
D001749	D014571
D001749	D014571
D001749	D001745
D001749	D014571
D001749	D001745
D001750	D009461
D001750	D001745
D001750	D001745
D001750	D009461
D001752	D015464
D001752	D002471
D001752	D015464
D001752	D002471
D001753	D001469
D001755	D004622
D001756	D004625
D001757	D053595
D001757	D004628
D001759	D003881
D001759	D003881
D001759	D008172
D001759	D008172
D001759	D008172
D001759	D003881
D001762	D005141
D001763	D005141
D001764	D005141
D001765	D008286
D001765	D008286
D001766	D014786
D001766	D014786
D001766	D014786
D001768	D012872
D001768	D020763
D001769	D001826
D001769	D006424
D001773	D002477
D001773	D001769
D001778	D006402
D001791	D006402
D001792	D001773
D001792	D001773
D001796	D006402
D001808	D002319
D001812	D002319
D001812	D001921
D001813	D002319
D001813	D012160
D001814	D012671
D001814	D002319
D001816	D000015
D001816	D049914
D001819	D001102
D001819	D012088
D001819	D012757
D001825	D014024
D001825	D001826
D001826	D005441
D001832	D012816
D001834	D001826
D001835	D012816
D001836	D001835
D001842	D012863
D001842	D003238
D001845	D003560
D001845	D001847
D001847	D009140
D001848	D001847
D001849	D001847
D001849	D004700
D001850	D007239
D001850	D001847
D001851	D001847
D001851	D008659
D001853	D007107
D001854	D002477
D001854	D006413
D001855	D006402
D001857	D001842
D001859	D009371
D001859	D001847
D001862	D001847
D001882	D018182
D001882	D012757
D001885	D016905
D001890	D018701
D001890	D000820
D001899	D016905
D001899	D013145
D001906	D003015
D001906	D020511
D001906	D020258
D001906	D005517
D001907	D000073605
D001907	D000073605
D001912	D018182
D001912	D002418
D001913	D002294
D001913	D002294
D001916	D001158
D001917	D013127
D001919	D001145
D001919	D001145
D001921	D002490
D001922	D002494
D001922	D000038
D001922	D001927
D001922	D002494
D001924	D000070642
D001924	D000070642
D001924	D016489
D001924	D000070642
D001924	D016489
D001924	D016489
